Cluster_ID	Gene
0	DAXX
0	SLX4
0	DOT1L
0	HNF1A
0	TSC2
0	ABL1
0	MST1R
0	SPEN
0	TP53
0	BRIP1
0	ARID1A
0	YES1
0	LATS2
0	SMAD3
0	RHOA
0	ANKRD11
0	MAP3K1
0	HLA-B
0	ERG
0	ASXL1
0	MSH6
0	SOX9
0	ARID1B
0	DROSHA
0	TGFBR2
0	PDGFRA
0	BARD1
0	MAP2K1
0	PMS2
0	FOXP1
0	JAK3
0	BAP1
0	ARAF
0	CTCF
0	SETDB1
0	PTPRS
0	KDM6A
0	MSH3
0	MGA
0	PIK3R3
0	PTCH1
0	TRAF2
0	SMAD2
0	GLI1
0	CDKN2A
0	CTR9
0	RNF43
0	NOTCH1
0	NOTCH2
0	RPS6KB2
1	PTPN11
1	MAP2K4
1	PTPRD
1	NBN
1	RAD21
1	PIK3CG
1	FYN
1	ERCC3
1	MDM4
1	PIK3CA
1	AXIN1
1	SETD2
1	CDH1
1	CREBBP
1	CYLD
1	PAK7
1	ATRX
1	TSC1
1	KDR
1	SPRED1
1	FGF19
1	BRCA2
1	UPF1
1	BBC3
1	ALOX12B
1	MYC
1	ESR1
1	ATR
1	ROS1
1	TOP1
1	EP300
1	CDKN1B
1	NRAS
1	WHSC1L1
1	CD274
1	E2F3
1	JUN
1	TGFBR1
1	TP63
1	CASP8
1	NCOA3
1	PTEN
1	FGFR1
1	CDK8
1	BLM
1	CSDE1
1	PRDM14
1	PLCG2
1	NKX2-1
1	IGF1R
1	KLF4
1	WT1
1	RICTOR
1	RAD54L
1	PRKD1
1	TET1
1	PIK3C2G
1	EPAS1
1	STAG2
1	INPP4A
1	ASXL2
1	ETV1
1	PLK2
1	FLT3
1	DIS3
1	ARID2
1	ERCC4
1	AR
1	PGR
1	ARID5B
2	SH2B3
2	NKX3-1
2	SMO
2	FGFR2
2	TAP2
2	RASA1
2	INSR
2	EGFR
2	ATM
2	PPM1D
2	TCF3
2	KMT2D
2	FANCA
2	TNFAIP3
2	TCF7L2
2	PMS1
2	PIK3C3
2	AXL
2	TET2
2	HLA-C
2	SHQ1
2	POLE
2	LATS1
2	MET
2	MAPK3
2	EPHB1
2	CIC
2	TRAF7
2	STAT3
2	IL7R
2	NOTCH3
2	VEGFA
2	AURKA
2	CHEK2
2	PIK3R2
2	AKT3
2	NF1
2	MYD88
2	PIK3CB
2	CSF3R
2	TBX3
2	RECQL4
2	ELF3
2	KMT2A
2	RPS6KA4
2	IKZF1
2	NSD1
2	RAF1
2	NTRK1
2	DCUN1D1
2	AKT1
2	AMER1
2	KMT2B
2	PDCD1
2	MITF
2	CTLA4
2	POLD1
2	NFE2L2
2	FAT1
2	TP53BP1
2	GSK3B
2	MTOR
2	BRCA1
2	FLCN
2	MDC1
2	NEGR1
2	FGFR4
2	CSF1R
2	IRS2
2	PBRM1
3	JAK2
3	NOTCH4
3	FLT1
3	PPP2R1A
3	PREX2
3	PARP1
3	PIK3CD
3	PAX5
3	KDM5C
3	MLL2
3	CDC73
3	NCOR1
3	RB1
3	IKBKE
3	GNAS
3	B2M
3	PIK3R1
3	INPPL1
3	NTRK2
3	DDR2
3	RAD50
3	FLT4
3	SYK
3	RUNX1
3	DNMT3A
3	WHSC1
3	KIT
3	MED12
3	CTNNB1
3	EZH2
3	GRIN2A
3	NTRK3
3	CARD11
3	KDM5A
3	GATA1
3	BIRC3
3	BRD4
3	PDGFRB
3	INPP4B
3	EPHA3
3	SESN3
3	XPO1
3	RECQL
3	BTK
3	DNMT3B
3	MALT1
3	SMAD4
3	AKT2
3	WWTR1
3	FBXW7
3	DICER1
3	ERBB3
4	BCL10
4	PTPRT
4	CDK12
4	ZFHX3
4	INHBA
4	RET
4	AXIN2
4	IDH1
4	IRS1
4	EPHA5
4	TEK
4	FUBP1
4	SHOC2
4	MYOD1
4	KMT2C
4	CYSLTR2
4	SOX17
4	RFWD2
4	JAK1
4	EPHA7
4	RBM10
4	APC
4	PARK2
4	MPL
4	HLA-A
4	ERBB2
4	TERT
4	AGO2
4	MLH1
4	RPTOR
4	SMARCA4
4	PRDM1
4	PALB2
4	ALK
4	ERF
4	ERBB4
4	BCOR
4	SESN1
